RealValue,MeanImputed,HowManyTissues
1.03219,0.767081346153846,26
-1.01055,-0.9089063695652173,46
-0.891069,-0.5781218611111112,36
1.0176100000000001,0.7314262580645161,31
-0.926184,-0.6101658636363636,44
0.445057,0.20518922222222222,27
-0.9307540000000001,-0.6360991136363636,44
-0.86069,-0.6745411860465118,43
0.5159779999999999,0.3603395714285714,21
-0.637112,-0.5483981714285714,35
0.6228859999999999,0.5164212580645161,31
0.663909,0.35484723076923075,13
0.362154,-0.28438800000000003,1
-1.01088,-0.4133726111111111,18
0.46006899999999995,-0.00883550000000001,2
-0.590056,-0.5149494545454546,44
1.04365,0.9482826,10
0.568826,0.2836134137931035,29
0.539358,0.19366933333333333,3
0.612871,0.17008199999999998,1
0.9170780000000001,0.0489865,2
-0.319995,-0.42449975000000006,36
-0.42141300000000004,-0.22420136315789474,19
-1.01055,-0.9087428260869563,46
-0.5493140000000001,-0.3038024,25
-0.505612,0.10066200000000003,7
0.37585799999999997,0.2110395,2
0.39070900000000003,0.184075,1
-0.464624,-0.22346024999999997,8
0.648991,0.6126676857142858,35
0.463474,0.260402125,24
-0.614746,-0.3457177096774194,31
-1.2902799999999999,-1.0074570217391303,46
0.440726,0.24634510344827587,29
0.57814,-0.14176062499999997,8
0.886402,-0.14265075,4
-0.744499,-0.8355046739130436,46
-0.5493140000000001,-0.30433196,25
0.654991,0.476954394736842,38
-0.729024,-0.5628674166666667,36
1.12893,0.934622347826087,46
-0.813755,-0.6344136976744185,43
0.469603,0.32830716000000004,25
-0.477925,-0.31684846666666666,15
0.539795,0.3174020000000001,8
0.697488,0.32859211111111114,9
0.6418119999999999,0.5257239767441861,43
-0.770977,-0.6412792631578947,38
0.718385,0.4865311666666668,42
0.8394790000000001,0.61627568,25
0.370125,0.5127836739130435,46
-0.765545,-0.2430391666666667,12
-0.5011899999999999,-0.6781611555555556,45
-0.375603,-0.3111632666666667,30
-0.8142739999999999,-0.6285106304347825,46
0.394056,0.169887,13
0.6819689999999999,-0.09049055555555556,9
-1.07067,-0.44702814999999996,20
0.43310600000000005,0.31402856666666673,30
-0.787071,-0.607452511111111,45
-1.0241200000000001,-0.6392180000000001,36
-0.8462860000000001,-0.6011672272727272,22
-0.8818969999999999,-0.45628253846153843,13
-0.42720600000000003,-0.24225536363636363,22
-0.43935100000000005,-0.38966196969696965,33
0.45425699999999997,0.42094855555555555,27
0.498863,0.3331901333333333,30
0.550686,0.5233894473684211,38
1.01478,0.6798071481481481,27
-0.647443,-0.33433409677419357,31
-0.9462,-0.6116197333333333,45
-0.639465,-0.5361716829268293,41
0.46058000000000004,0.4241409523809524,21
-0.8492879999999999,-0.6034642727272727,22
0.502376,0.4744505434782608,46
-0.46975900000000004,-0.31258000606060604,33
0.43473100000000003,0.2397736206896552,29
-0.64207,-0.5394436060606062,33
-0.6450359999999999,-0.3850419375,32
-0.636209,-0.4490038947368421,38
0.741835,0.5905617567567566,37
-0.65474,-0.4115807333333334,15
-0.546657,0.01689850000000001,2
0.5918939999999999,0.37407744444444446,9
-0.597006,-0.3954870967741936,31
0.608877,-0.1973056,5
0.62736,0.9290710222222222,45
-1.59138,-1.0463909361702128,47
-0.61005,-0.40715,2
0.631887,0.39505407692307687,13
0.29463,-0.115389,3
-0.304663,-0.22852178260869563,23
0.319092,0.386717875,24
0.9055059999999999,0.4271714782608695,23
0.974706,0.6838641666666666,42
0.415997,0.26922678260869565,23
0.716472,0.41865608333333326,12
0.637217,0.24440966666666666,6
0.707074,0.368027,1
0.807974,0.6293542820512821,39
0.473228,0.169822,1
0.6968850000000001,0.2962548888888889,9
-0.301286,-0.41116129729729733,37
0.559617,0.2290725,4
-0.9307540000000001,-0.63628425,44
0.863635,0.5796717916666666,24
0.587208,-0.12920871428571426,7
0.638999,0.9392523777777779,45
0.507767,0.05201420000000001,5
0.31292,0.183781625,16
0.672057,0.28831188888888887,9
0.470232,0.2958931333333333,15
-0.770125,-0.6315707674418604,43
0.706562,0.32089399999999996,10
-0.8965120000000001,-0.6150412285714286,35
-0.933219,-0.5261913333333332,9
-0.591028,-0.476692090909091,33
-0.5753,-0.24198499999999998,1
-0.418605,-0.34380352000000003,25
0.565716,0.2374649090909091,33
-0.435608,-0.3805052121212121,33
0.541762,0.23330566666666672,6
0.5916680000000001,0.5722062857142858,42
-0.309352,-0.2806921571428571,28
0.48348500000000005,0.5610659756097561,41
-0.817389,-0.20260899999999998,1
-0.233548,-0.14113535384615386,13
1.01754,0.6597055454545455,22
0.907526,0.35219633333333333,9
0.648418,0.21493846153846155,13
-0.5691390000000001,-0.49540107894736846,38
-0.353727,-0.21688442857142862,7
0.33225,0.35927647368421056,19
0.42047700000000005,0.22438987142857142,7
0.585367,0.4396311,40
0.9184760000000001,-0.161899,1
0.694422,0.5391143095238096,42
-0.541006,-0.2594387777777778,9
1.0378,1.4075449736842107,38
-0.31685599999999997,-0.3676042,35
0.505901,0.30883828571428573,7
0.528943,0.32727327777777776,18
0.441535,0.29830614285714285,28
0.7980659999999999,0.7565448857142858,35
0.404312,0.2587105714285715,21
0.301981,0.12472910000000001,2
-0.313296,-0.16483327272727272,11
-0.343505,-0.174455,6
0.63373,-0.14281314285714283,7
0.575187,0.28196610344827583,29
0.697488,0.3288272222222222,9
-0.647443,-0.33433409677419357,31
-0.581593,-0.32081414285714277,21
0.57311,0.284064,22
0.9911409999999999,0.7327263333333331,45
-0.776332,-0.6328339767441861,43
-0.44996,-0.07341766666666667,3
0.404121,0.2810229566666667,30
-0.86069,-0.6777920930232558,43
-0.618587,-0.18324436363636362,11
-0.8012630000000001,-0.4582879999999999,21
-0.5615,-0.4175696527777777,36
-0.44180600000000003,-0.150263,2
-0.326153,-0.20593213333333335,15
0.437884,0.35422466176470585,34
0.327824,0.24530392592592587,27
0.353727,0.303252,6
0.8783700000000001,0.6574573095238095,42
0.32121700000000003,0.3679079655172414,29
-0.45546899999999996,-0.2746481785714286,28
-0.579635,-0.6232817837837838,37
0.443493,0.32621325,32
-0.44181899999999996,-0.21069935714285717,14
-0.589665,-0.7999965217391304,46
0.697488,0.3288407777777778,9
0.328914,0.3677408148148149,27
0.801886,0.7783219210526314,38
0.743038,0.5505040476190476,21
0.654991,0.476954394736842,38
0.8388959999999999,0.248011,2
-0.53171,-0.5258182826086957,46
-1.02519,-0.9154718666666665,45
0.752695,0.5457479523809523,21
-0.32516100000000003,-0.3463023,20
0.34865300000000005,0.13455771428571428,7
-0.9360370000000001,-0.40820038888888893,18
0.399119,0.4046577567567567,37
-0.387745,-0.2588368,20
-0.5111979999999999,-0.6936640222222222,45
1.0167899999999999,0.36062324999999995,8
0.534413,0.2672792,25
0.5181439999999999,0.4840555135135134,37
0.76952,0.7731425,38
-0.322311,-0.4256888333333333,36
0.8405469999999999,0.5007017857142858,28
0.529432,0.10224900000000003,5
